configuration,dataset,metric,n_seeds,mean,std,n_pairs,mean_full_minus_ablated,paired_std,full_win_rate,ties,paired_ci95_low,paired_ci95_high,paired_differences
Full,NCI1,ACC,3,74.79315801232124,0.8063638636754775,0,,,,0,,,[]
Full,NCI1,NMI,3,18.74782105833536,1.2314227261477726,0,,,,0,,,[]
Full,NCI1,ARI,3,24.56976513347729,1.5661067383268699,0,,,,0,,,[]
Full,NCI1,Macro-F1,3,74.76828598057445,0.8097538691081028,0,,,,0,,,[]
Full,Mutagenicity,ACC,3,76.87233687671689,0.4206687733221232,0,,,,0,,,[]
Full,Mutagenicity,NMI,3,21.632558505182597,0.7075274762055355,0,,,,0,,,[]
Full,Mutagenicity,ARI,3,28.87813426131775,0.8940969977166868,0,,,,0,,,[]
Full,Mutagenicity,Macro-F1,3,76.51541859895322,0.41507331223988675,0,,,,0,,,[]
Full,COLLAB,ACC,3,72.82666666666665,0.6466323014923794,0,,,,0,,,[]
Full,COLLAB,NMI,3,27.91976725404973,0.38696948184880037,0,,,,0,,,[]
Full,COLLAB,ARI,3,32.90139989861066,1.2675488070894705,0,,,,0,,,[]
Full,COLLAB,Macro-F1,3,70.18992281201159,0.5029300956982615,0,,,,0,,,[]
Full,MUTAG,ACC,3,85.78947368421053,0.3080570103514673,0,,,,0,,,[]
Full,MUTAG,NMI,3,43.42511913542443,0.8371874804019713,0,,,,0,,,[]
Full,MUTAG,ARI,3,50.60755770670145,0.7454463940746212,0,,,,0,,,[]
Full,MUTAG,Macro-F1,3,84.25696488525209,0.28217697521591456,0,,,,0,,,[]
Full,PTC_MR,ACC,3,58.04201680672268,1.8966481497102095,0,,,,0,,,[]
Full,PTC_MR,NMI,3,2.167220784065448,0.3807964796087107,0,,,,0,,,[]
Full,PTC_MR,ARI,3,2.085305995861715,0.5223062518853439,0,,,,0,,,[]
Full,PTC_MR,Macro-F1,3,56.8117301122467,2.07295684388724,0,,,,0,,,[]
w/o ACVG,NCI1,ACC,3,75.23103583636633,0.36363752787504566,3,-0.43787782404509795,0.552048622567029,0.0,0,-1.8092426260836791,0.9334869779934831,"[-1.0697615356584294, -0.04913546737151364, -0.1947364691053508]"
w/o ACVG,NCI1,NMI,3,19.489853474062233,0.5307450404010049,3,-0.7420324157268704,0.820217868612598,0.0,0,-2.7795665549989024,1.2955017235451618,"[-1.6877677801626696, -0.22505331397833572, -0.313276153039606]"
w/o ACVG,NCI1,ARI,3,25.44817173191359,0.720239271700138,3,-0.8784065984363044,1.0593156333417937,0.0,0,-3.5098925118673394,1.7530793149947304,"[-2.0885412273011212, -0.1189688008829819, -0.42770976712481]"
w/o ACVG,NCI1,Macro-F1,3,75.20051793978263,0.37014285699581484,3,-0.43223195920818114,0.5578315433917119,0.0,0,-1.8179623329514234,0.9534984145350611,"[-1.0685470864167144, -0.027452660646858362, -0.2006961305609707]"
w/o ACVG,Mutagenicity,ACC,3,77.28724324405634,0.3812013763489461,3,-0.41490636733945035,0.528294806110001,0.3333333333333333,0,-1.7272634181191326,0.8974506834402318,"[0.1615825372997648, -0.8758957451524338, -0.530405894165682]"
w/o ACVG,Mutagenicity,NMI,3,22.383334679978798,0.616862119179947,3,-0.7507761747962007,0.8607162699885234,0.3333333333333333,0,-2.8889139201917704,1.387361570599369,"[0.1836755541782331, -1.5111444485071175, -0.9248596300597178]"
w/o ACVG,Mutagenicity,ARI,3,29.780206400000598,0.8127287967282739,3,-0.9020721386828505,1.1285041575096286,0.3333333333333333,0,-3.705431874219553,1.901287596853852,"[0.33532702756941646, -1.874542991183933, -1.167000452434035]"
w/o ACVG,Mutagenicity,Macro-F1,3,76.94027465447662,0.35834275626146583,3,-0.42485605552339223,0.49238393180541706,0.3333333333333333,0,-1.6480055491811314,0.7982934381343469,"[0.10822538537863124, -0.8625986139450532, -0.5201949380037547]"
w/o ACVG,COLLAB,ACC,4,73.29,0.7289261508090729,3,-0.6866666666666722,1.1900140055198207,0.3333333333333333,0,-3.6428253352895243,2.2694920019561797,"[0.5, -0.680000000000021, -1.8799999999999955]"
w/o ACVG,COLLAB,NMI,4,28.62605439263897,1.3538089371070072,3,-1.1694148523873693,1.4729008424792842,0.3333333333333333,0,-4.828303380858992,2.4894736760842533,"[0.5295131597326765, -2.087213322677073, -1.9505443942177116]"
w/o ACVG,COLLAB,ARI,4,33.63906754887026,1.4616529683361894,3,-1.1623642290836618,2.3118565880419206,0.3333333333333333,0,-6.905334363597044,4.580605905429721,"[1.0516348596255227, -0.9777226042008351, -3.561004942675673]"
w/o ACVG,COLLAB,Macro-F1,4,70.5584384213608,0.7740719032444472,3,-0.6425163043691811,1.0028896259348197,0.3333333333333333,0,-3.1338322448770484,1.8487996361386863,"[0.5073885272691712, -1.098823195878495, -1.3361142444982193]"
w/o ACVG,MUTAG,ACC,3,85.25367472735894,0.3038685627313783,3,0.5357989568515981,0.5334439700519339,0.6666666666666666,1,-0.7893493262602246,1.8609472399634206,"[0.5405405405405332, 1.4210854715202004e-14, 1.0668563300142466]"
w/o ACVG,MUTAG,NMI,3,41.70648383067019,2.227915352762454,3,1.7186353047542415,2.461528465911597,0.6666666666666666,0,-4.396140385963693,7.833410995472176,"[4.535930774014126, -0.015983391249399403, 0.6359585314979981]"
w/o ACVG,MUTAG,ARI,3,48.95908673181378,1.1435149288240676,3,1.648470974887682,1.7070837056557264,0.6666666666666666,0,-2.5921600354462075,5.889101985221572,"[2.1825732843983374, -0.26180439474120476, 3.024644035005913]"
w/o ACVG,MUTAG,Macro-F1,3,83.6252763557648,0.3165764901766996,3,0.6316885294872776,0.5916178413926484,0.6666666666666666,0,-0.8379716612605257,2.101348720235081,"[0.7691122372742996, -0.016547019916302474, 1.1425003711038357]"
w/o ACVG,PTC_MR,ACC,3,57.96918767507003,2.06446377701998,3,0.0728291316526608,1.7424838002217529,0.6666666666666666,0,-4.255740588592223,4.401398851897545,"[-1.7731092436974762, 1.6890756302520913, 0.3025210084033674]"
w/o ACVG,PTC_MR,NMI,3,2.2252080845993016,0.9838926637036604,3,-0.05798730053385396,0.9129870771008977,0.3333333333333333,0,-2.3259729291009,2.209998328033192,"[-0.9726973431531405, -0.054531559243256034, 0.8532670007948346]"
w/o ACVG,PTC_MR,ARI,3,1.9935237630330587,1.3729015584438884,3,0.09178223282865572,1.2861204057634719,0.6666666666666666,0,-3.1031179689800217,3.286682434637333,"[-1.2314549104001618, 0.16954440496976408, 1.3372572039163648]"
w/o ACVG,PTC_MR,Macro-F1,3,57.230227322335026,2.1542430775624797,3,-0.41849721008831625,1.9637474593861455,0.3333333333333333,0,-5.29671633030334,4.459721910126708,"[-2.503174812834004, 1.3964304558842002, -0.14874727331514492]"
w/o RDTG,NCI1,ACC,3,74.73665239288756,0.11009850446063676,3,0.056505619433674305,0.6987484209722545,0.6666666666666666,0,-1.6792816841294982,1.792292922996847,"[-0.7293062422521928, 0.29090557456413535, 0.6079175259890803]"
w/o RDTG,NCI1,NMI,3,18.74010592094795,0.1297776043322435,3,0.00771513738741092,1.1136867212087833,0.6666666666666666,0,-2.7588360458429038,2.7742663206177256,"[-1.2429042153226355, 0.3736765171081622, 0.8923731103767061]"
w/o RDTG,NCI1,ARI,3,24.47408570798132,0.2200888536111489,3,0.09567942549596253,1.3551103965962341,0.6666666666666666,0,-3.270601414273689,3.461960265265614,"[-1.4344416644329527, 0.5772416907843976, 1.1442382501364428]"
w/o RDTG,NCI1,Macro-F1,3,74.69946447675088,0.11660719553518152,3,0.0688215038235711,0.6952923491752506,0.6666666666666666,0,-1.6583804414541474,1.7960234491012896,"[-0.7145607171153614, 0.30830987857771674, 0.612715350008358]"
w/o RDTG,Mutagenicity,ACC,3,77.60987740839697,0.6366878644748861,3,-0.7375405316800728,0.34885146881007106,0.0,0,-1.6041356211506645,0.12905455779051878,"[-0.4607239226835418, -0.6225188240868533, -1.1293788482698233]"
w/o RDTG,Mutagenicity,NMI,3,23.0023865962584,1.1837251786036247,3,-1.369828091075803,0.6714075354485041,0.0,0,-3.037696869836778,0.29804068768517245,"[-0.9067815377132185, -1.0628543893799574, -2.139848346134233]"
w/o RDTG,Mutagenicity,ARI,3,30.523155767297244,1.4389884723993744,3,-1.645021505979494,0.8057737367400153,0.0,0,-3.6466744325533487,0.3566314205943606,"[-1.0686768933643016, -1.3006264400238265, -2.565761184550354]"
w/o RDTG,Mutagenicity,Macro-F1,3,77.27249533923514,0.6445909046063343,3,-0.757076740281903,0.35370780413116343,0.0,0,-1.6357356354645254,0.12158215490071933,"[-0.4829125975517172, -0.6319857240997493, -1.1563318991942424]"
