configuration,dataset,seed,metric,full,ablated,full_minus_ablated,full_win,tie
w/o ACVG,NCI1,0,ACC,73.89329855090162,74.96306008656005,-1.0697615356584294,0,0
w/o ACVG,NCI1,1,ACC,75.03593467664817,75.08507014401968,-0.04913546737151364,0,0
w/o ACVG,NCI1,2,ACC,75.45024080941394,75.64497727851929,-0.1947364691053508,0,0
w/o ACVG,NCI1,0,NMI,17.381924645891946,19.069692426054615,-1.6877677801626696,0,0
w/o ACVG,NCI1,1,NMI,19.08850157205767,19.313554886036005,-0.22505331397833572,0,0
w/o ACVG,NCI1,2,NMI,19.773036957056473,20.08631311009608,-0.313276153039606,0,0
w/o ACVG,NCI1,0,ARI,22.81928600963682,24.90782723693794,-2.0885412273011212,0,0
w/o ACVG,NCI1,1,ARI,25.051866750673458,25.17083555155644,-0.1189688008829819,0,0
w/o ACVG,NCI1,2,ARI,25.838142640121582,26.265852407246392,-0.42770976712481,0,0
w/o ACVG,NCI1,0,Macro-F1,73.8624155416315,74.93096262804822,-1.0685470864167144,0,0
w/o ACVG,NCI1,1,Macro-F1,75.02059620304271,75.04804886368957,-0.027452660646858362,0,0
w/o ACVG,NCI1,2,Macro-F1,75.42184619704912,75.62254232761009,-0.2006961305609707,0,0
w/o ACVG,Mutagenicity,0,ACC,77.07970157534346,76.9181190380437,0.1615825372997648,1,0
w/o ACVG,Mutagenicity,1,ACC,76.38824405413693,77.26413979928937,-0.8758957451524338,0,0
w/o ACVG,Mutagenicity,2,ACC,77.14906500067028,77.67947089483596,-0.530405894165682,0,0
w/o ACVG,Mutagenicity,0,NMI,21.97868997460652,21.795014420428288,0.1836755541782331,1,0
w/o ACVG,Mutagenicity,1,NMI,20.818602854813037,22.329747303320154,-1.5111444485071175,0,0
w/o ACVG,Mutagenicity,2,NMI,22.100382686128228,23.025242316187946,-0.9248596300597178,0,0
w/o ACVG,Mutagenicity,0,ARI,29.33314448211713,28.997817454547715,0.33532702756941646,1,0
w/o ACVG,Mutagenicity,1,ARI,27.84804973705793,29.722592728241864,-1.874542991183933,0,0
w/o ACVG,Mutagenicity,2,ARI,29.453208564778187,30.620209017212222,-1.167000452434035,0,0
w/o ACVG,Mutagenicity,0,Macro-F1,76.71126390234483,76.6030385169662,0.10822538537863124,1,0
w/o ACVG,Mutagenicity,1,Macro-F1,76.03865651241942,76.90125512636448,-0.8625986139450532,0,0
w/o ACVG,Mutagenicity,2,Macro-F1,76.79633538209544,77.31653032009919,-0.5201949380037547,0,0
w/o ACVG,COLLAB,0,ACC,73.2,72.7,0.5,1,0
w/o ACVG,COLLAB,1,ACC,73.19999999999999,73.88000000000001,-0.680000000000021,0,0
w/o ACVG,COLLAB,2,ACC,72.08,73.96,-1.8799999999999955,0,0
w/o ACVG,COLLAB,0,NMI,28.268969437710883,27.739456277978206,0.5295131597326765,1,0
w/o ACVG,COLLAB,1,NMI,27.986596806663975,30.073810129341048,-2.087213322677073,0,0
w/o ACVG,COLLAB,2,NMI,27.503735517774334,29.454279911992046,-1.9505443942177116,0,0
w/o ACVG,COLLAB,0,ARI,33.43817721904923,32.38654235942371,1.0516348596255227,1,0
w/o ACVG,COLLAB,1,ARI,33.812240885046776,34.78996348924761,-0.9777226042008351,0,0
w/o ACVG,COLLAB,2,ARI,31.453781591735968,35.01478653441164,-3.561004942675673,0,0
w/o ACVG,COLLAB,0,Macro-F1,70.61227305504114,70.10488452777197,0.5073885272691712,1,0
w/o ACVG,COLLAB,1,Macro-F1,70.32393443027505,71.42275762615354,-1.098823195878495,0,0
w/o ACVG,COLLAB,2,Macro-F1,69.63356095071859,70.96967519521681,-1.3361142444982193,0,0
w/o ACVG,MUTAG,0,ACC,85.61877667140826,85.07823613086772,0.5405405405405332,1,0
w/o ACVG,MUTAG,1,ACC,85.60455192034141,85.6045519203414,1.4210854715202004e-14,0,1
w/o ACVG,MUTAG,2,ACC,86.14509246088195,85.07823613086771,1.0668563300142466,1,0
w/o ACVG,MUTAG,0,NMI,43.727535778964274,39.19160500495015,4.535930774014126,1,0
w/o ACVG,MUTAG,1,NMI,42.47874353086153,42.49472692211093,-0.015983391249399403,0,0
w/o ACVG,MUTAG,2,NMI,44.06907809644749,43.43311956494949,0.6359585314979981,1,0
w/o ACVG,MUTAG,0,ARI,50.36863968306892,48.18606639867058,2.1825732843983374,1,0
w/o ACVG,MUTAG,1,ARI,50.01086103717009,50.27266543191129,-0.26180439474120476,0,0
w/o ACVG,MUTAG,2,ARI,51.44317239986536,48.41852836485945,3.024644035005913,1,0
w/o ACVG,MUTAG,0,Macro-F1,84.26959884351322,83.50048660623892,0.7691122372742996,1,0
w/o ACVG,MUTAG,1,Macro-F1,83.96868313409139,83.9852301540077,-0.016547019916302474,0,0
w/o ACVG,MUTAG,2,Macro-F1,84.53261267815162,83.39011230704779,1.1425003711038357,1,0
w/o ACVG,PTC_MR,0,ACC,58.134453781512605,59.90756302521008,-1.7731092436974762,0,0
w/o ACVG,PTC_MR,1,ACC,59.890756302521005,58.201680672268914,1.6890756302520913,1,0
w/o ACVG,PTC_MR,2,ACC,56.10084033613445,55.798319327731086,0.3025210084033674,1,0
w/o ACVG,PTC_MR,0,NMI,1.942877396633276,2.9155747397864165,-0.9726973431531405,0,0
w/o ACVG,PTC_MR,1,NMI,2.6068959010750636,2.6614274603183197,-0.054531559243256034,0,0
w/o ACVG,PTC_MR,2,NMI,1.9518890544880036,1.098622053693169,0.8532670007948346,1,0
w/o ACVG,PTC_MR,0,ARI,1.7948295111347128,3.0262844215348745,-1.2314549104001618,0,0
w/o ACVG,PTC_MR,1,ARI,2.6882792921854723,2.5187348872157083,0.16954440496976408,1,0
w/o ACVG,PTC_MR,2,ARI,1.772809184264959,0.4355519803485941,1.3372572039163648,1,0
w/o ACVG,PTC_MR,0,Macro-F1,56.711828123889156,59.21500293672316,-2.503174812834004,0,0
w/o ACVG,PTC_MR,1,Macro-F1,58.9328316975609,57.5364012416767,1.3964304558842002,1,0
w/o ACVG,PTC_MR,2,Macro-F1,54.79053051529006,54.9392777886052,-0.14874727331514492,0,0
w/o RDTG,NCI1,0,ACC,73.89329855090162,74.62260479315381,-0.7293062422521928,0,0
w/o RDTG,NCI1,1,ACC,75.03593467664817,74.74502910208403,0.29090557456413535,1,0
w/o RDTG,NCI1,2,ACC,75.45024080941394,74.84232328342486,0.6079175259890803,1,0
w/o RDTG,NCI1,0,NMI,17.381924645891946,18.62482886121458,-1.2429042153226355,0,0
w/o RDTG,NCI1,1,NMI,19.08850157205767,18.714825054949507,0.3736765171081622,1,0
w/o RDTG,NCI1,2,NMI,19.773036957056473,18.880663846679766,0.8923731103767061,1,0
w/o RDTG,NCI1,0,ARI,22.81928600963682,24.253727674069772,-1.4344416644329527,0,0
w/o RDTG,NCI1,1,ARI,25.051866750673458,24.47462505988906,0.5772416907843976,1,0
w/o RDTG,NCI1,2,ARI,25.838142640121582,24.69390438998514,1.1442382501364428,1,0
w/o RDTG,NCI1,0,Macro-F1,73.8624155416315,74.57697625874687,-0.7145607171153614,0,0
w/o RDTG,NCI1,1,Macro-F1,75.02059620304271,74.712286324465,0.30830987857771674,1,0
w/o RDTG,NCI1,2,Macro-F1,75.42184619704912,74.80913084704076,0.612715350008358,1,0
w/o RDTG,Mutagenicity,0,ACC,77.07970157534346,77.540425498027,-0.4607239226835418,0,0
w/o RDTG,Mutagenicity,1,ACC,76.38824405413693,77.01076287822379,-0.6225188240868533,0,0
w/o RDTG,Mutagenicity,2,ACC,77.14906500067028,78.2784438489401,-1.1293788482698233,0,0
w/o RDTG,Mutagenicity,0,NMI,21.97868997460652,22.88547151231974,-0.9067815377132185,0,0
w/o RDTG,Mutagenicity,1,NMI,20.818602854813037,21.881457244192994,-1.0628543893799574,0,0
w/o RDTG,Mutagenicity,2,NMI,22.100382686128228,24.24023103226246,-2.139848346134233,0,0
w/o RDTG,Mutagenicity,0,ARI,29.33314448211713,30.401821375481433,-1.0686768933643016,0,0
w/o RDTG,Mutagenicity,1,ARI,27.84804973705793,29.148676177081757,-1.3006264400238265,0,0
w/o RDTG,Mutagenicity,2,ARI,29.453208564778187,32.01896974932854,-2.565761184550354,0,0
w/o RDTG,Mutagenicity,0,Macro-F1,76.71126390234483,77.19417649989654,-0.4829125975517172,0,0
w/o RDTG,Mutagenicity,1,Macro-F1,76.03865651241942,76.67064223651917,-0.6319857240997493,0,0
w/o RDTG,Mutagenicity,2,Macro-F1,76.79633538209544,77.95266728128968,-1.1563318991942424,0,0
w/o RDTG,COLLAB,0,ACC,73.2,74.12,-0.9200000000000017,0,0
w/o RDTG,COLLAB,1,ACC,73.19999999999999,73.02000000000001,0.1799999999999784,1,0
w/o RDTG,COLLAB,2,ACC,72.08,73.14000000000001,-1.0600000000000165,0,0
w/o RDTG,COLLAB,0,NMI,28.268969437710883,30.08524206731129,-1.8162726296004088,0,0
w/o RDTG,COLLAB,1,NMI,27.986596806663975,28.652739971202482,-0.6661431645385072,0,0
w/o RDTG,COLLAB,2,NMI,27.503735517774334,28.905678863199476,-1.401943345425142,0,0
w/o RDTG,COLLAB,0,ARI,33.43817721904923,34.90857547732443,-1.4703982582752033,0,0
w/o RDTG,COLLAB,1,ARI,33.812240885046776,33.119376778009176,0.6928641070376003,1,0
w/o RDTG,COLLAB,2,ARI,31.453781591735968,33.429268825809814,-1.9754872340738459,0,0
w/o RDTG,COLLAB,0,Macro-F1,70.61227305504114,71.58285224121633,-0.9705791861751862,0,0
