configuration,dataset,seed,status,use_acvg,use_rdtg,use_ltcp,ACC,NMI,ARI,Macro-F1,split_sha256,failed_attempts,duration_seconds,result_path
Full,NCI1,0,completed,1,1,1,73.89329855090162,17.381924645891946,22.81928600963682,73.8624155416315,732066f12d1096a6ec16ed075f0f4a3c34e95443373dabf5da22c785d7897efe,0,150.1081705999095,/home/Lim/Project-xmlg/output/ablation/jobs/Full__NCI1__seed0.json
Full,NCI1,1,completed,1,1,1,75.03593467664817,19.08850157205767,25.051866750673458,75.02059620304271,732066f12d1096a6ec16ed075f0f4a3c34e95443373dabf5da22c785d7897efe,0,114.83177894703113,/home/Lim/Project-xmlg/output/ablation/jobs/Full__NCI1__seed1.json
Full,NCI1,2,completed,1,1,1,75.45024080941394,19.773036957056473,25.838142640121582,75.42184619704912,732066f12d1096a6ec16ed075f0f4a3c34e95443373dabf5da22c785d7897efe,0,95.80432912101969,/home/Lim/Project-xmlg/output/ablation/jobs/Full__NCI1__seed2.json
Full,NCI1,3,pending,1,1,1,,,,,732066f12d1096a6ec16ed075f0f4a3c34e95443373dabf5da22c785d7897efe,0,,/home/Lim/Project-xmlg/output/ablation/jobs/Full__NCI1__seed3.json
Full,NCI1,4,pending,1,1,1,,,,,732066f12d1096a6ec16ed075f0f4a3c34e95443373dabf5da22c785d7897efe,0,,/home/Lim/Project-xmlg/output/ablation/jobs/Full__NCI1__seed4.json
Full,Mutagenicity,0,completed,1,1,1,77.07970157534346,21.97868997460652,29.33314448211713,76.71126390234483,50de8558a04013f9a521e9ba8c01ade39498acaffab1cc78aa1f0f182b3f54a9,0,155.48282572603785,/home/Lim/Project-xmlg/output/ablation/jobs/Full__Mutagenicity__seed0.json
Full,Mutagenicity,1,completed,1,1,1,76.38824405413693,20.818602854813037,27.84804973705793,76.03865651241942,50de8558a04013f9a521e9ba8c01ade39498acaffab1cc78aa1f0f182b3f54a9,0,151.2690343291033,/home/Lim/Project-xmlg/output/ablation/jobs/Full__Mutagenicity__seed1.json
Full,Mutagenicity,2,completed,1,1,1,77.14906500067028,22.100382686128228,29.453208564778187,76.79633538209544,50de8558a04013f9a521e9ba8c01ade39498acaffab1cc78aa1f0f182b3f54a9,0,153.4325753489975,/home/Lim/Project-xmlg/output/ablation/jobs/Full__Mutagenicity__seed2.json
Full,Mutagenicity,3,pending,1,1,1,,,,,50de8558a04013f9a521e9ba8c01ade39498acaffab1cc78aa1f0f182b3f54a9,0,,/home/Lim/Project-xmlg/output/ablation/jobs/Full__Mutagenicity__seed3.json
Full,Mutagenicity,4,pending,1,1,1,,,,,50de8558a04013f9a521e9ba8c01ade39498acaffab1cc78aa1f0f182b3f54a9,0,,/home/Lim/Project-xmlg/output/ablation/jobs/Full__Mutagenicity__seed4.json
Full,COLLAB,0,completed,1,1,1,73.2,28.268969437710883,33.43817721904923,70.61227305504114,b3f7393c3a73bd9e906f0775d3fbbdf69fa13e55f848115da83429a5fa91f6bd,0,1782.3706398108043,/home/Lim/Project-xmlg/output/ablation/jobs/Full__COLLAB__seed0.json
Full,COLLAB,1,completed,1,1,1,73.19999999999999,27.986596806663975,33.812240885046776,70.32393443027505,b3f7393c3a73bd9e906f0775d3fbbdf69fa13e55f848115da83429a5fa91f6bd,0,1694.564208367141,/home/Lim/Project-xmlg/output/ablation/jobs/Full__COLLAB__seed1.json
Full,COLLAB,2,completed,1,1,1,72.08,27.503735517774334,31.453781591735968,69.63356095071859,b3f7393c3a73bd9e906f0775d3fbbdf69fa13e55f848115da83429a5fa91f6bd,0,1038.2914679478854,/home/Lim/Project-xmlg/output/ablation/jobs/Full__COLLAB__seed2.json
Full,COLLAB,3,pending,1,1,1,,,,,b3f7393c3a73bd9e906f0775d3fbbdf69fa13e55f848115da83429a5fa91f6bd,0,,/home/Lim/Project-xmlg/output/ablation/jobs/Full__COLLAB__seed3.json
Full,COLLAB,4,pending,1,1,1,,,,,b3f7393c3a73bd9e906f0775d3fbbdf69fa13e55f848115da83429a5fa91f6bd,0,,/home/Lim/Project-xmlg/output/ablation/jobs/Full__COLLAB__seed4.json
